date,open,high,low,close,change_pct
2023-02-08,1607.2,1612.34,1594.44,1597.73,-1.09
2023-02-09,1611.76,1611.76,1577.9,1583.12,-0.91
2023-02-10,1578.38,1587.67,1574.52,1586.03,0.18
2023-02-13,1589.12,1605.08,1586.89,1604.6,1.17
2023-02-14,1598.21,1613.01,1587.67,1603.83,-0.05
2023-02-15,1594.63,1608.76,1591.35,1608.76,0.31
2023-02-16,1587.96,1603.63,1585.55,1585.73,-1.43
2023-02-17,1576.16,1582.26,1569.11,1581.48,-0.27
2023-02-21,1565.33,1568.91,1548.4,1549.57,-2.02
2023-02-22,1551.12,1557.02,1541.15,1547.15,-0.16
2023-02-23,1558.85,1560.6,1537.77,1554.5,0.48
2023-02-24,1534.29,1541.15,1527.22,1538.15,-1.05
2023-02-27,1551.6,1556.67,1539.22,1542.8,0.3
2023-02-28,1540.77,1548.6,1537.47,1537.47,-0.35
2023-03-01,1532.84,1538.15,1525.48,1530.61,-0.45
2023-03-02,1522.39,1545.4,1520.94,1541.73,0.73
2023-03-03,1549.66,1567.85,1546.66,1566.68,1.62
2023-03-06,1570.27,1579.16,1566.01,1567.75,0.07
2023-03-07,1567.45,1568.13,1540.67,1543.38,-1.55
2023-03-08,1543.57,1548.6,1536.51,1545.4,0.13
2023-03-09,1548.21,1554.88,1512.62,1516.59,-1.86
2023-03-10,1513.83,1522.1,1488.06,1494.83,-1.43
2023-03-13,1490.38,1523.69,1485.93,1504.31,0.63
2023-03-14,1525.1,1536.7,1510.98,1528.96,1.64
2023-03-15,1504.79,1519.39,1497.06,1519.39,-0.63
2023-03-16,1508.94,1546.77,1506.91,1544.83,1.67
2023-03-17,1541.15,1544.15,1521.33,1526.64,-1.18
2023-03-20,1529.93,1542.99,1527.04,1540.87,0.93
2023-03-21,1555.37,1564.08,1548.89,1561.76,1.36
2023-03-22,1561.27,1575.78,1535.44,1535.44,-1.69
2023-03-23,1546.38,1562.53,1527.52,1538.15,0.18
2023-03-24,1532.84,1548.51,1523.26,1548.31,0.66
2023-03-27,1557.6,1560.49,1547.54,1550.54,0.14
2023-03-28,1548.12,1550.83,1540.04,1548.02,-0.16
2023-03-29,1564.17,1571.04,1559.82,1569.68,1.4
2023-03-30,1580.03,1580.9,1571.13,1578.19,0.54
2023-03-31,1582.55,1601.88,1582.36,1601.02,1.45
2023-04-03,1598.6,1608.37,1596.95,1606.82,0.36
2023-04-04,1609.34,1610.4,1592.03,1597.15,-0.6
2023-04-05,1593.77,1596.47,1585.84,1592.7,-0.28
2023-04-06,1588.93,1599.66,1584.96,1598.6,0.37
2023-04-10,1588.44,1600.14,1585.73,1599.86,0.08
2023-04-11,1602.08,1606.05,1597.35,1600.34,0.03
2023-04-12,1608.76,1609.62,1591.44,1593.57,-0.42
2023-04-13,1597.73,1615.71,1595.64,1614.17,1.29
2023-04-14,1611.85,1620.45,1600.92,1610.49,-0.23
2023-04-17,1609.91,1615.82,1604.79,1615.82,0.33
2023-04-18,1622.3,1622.68,1611.08,1616.78,0.06
2023-04-19,1609.14,1619.63,1608.56,1616.68,-0.01
2023-04-20,1603.63,1613.68,1600.43,1606.43,-0.63
2023-04-21,1607.4,1609.53,1599.76,1607.69,0.08
2023-04-24,1607.02,1610.79,1601.21,1609.05,0.08
2023-04-25,1601.02,1603.14,1583.22,1583.41,-1.59
2023-04-26,1586.03,1589.8,1574.22,1576.64,-0.43
2023-04-27,1586.03,1608.27,1585.15,1606.72,1.91
2023-04-28,1603.54,1620.56,1603.54,1620.36,0.85
2023-05-01,1618.91,1626.93,1617.94,1619.2,-0.07
2023-05-02,1615.82,1615.82,1588.55,1600.43,-1.16
2023-05-03,1602.17,1611.37,1588.15,1589.51,-0.68
2023-05-04,1584.48,1585.15,1571.62,1576.64,-0.81
2023-05-05,1591.06,1610.4,1590.58,1605.57,1.83
2023-05-08,1606.91,1608.27,1600.72,1606.34,0.05
2023-05-09,1599.95,1603.54,1598.21,1599.28,-0.44
2023-05-10,1610.6,1612.91,1590.96,1605.86,0.41
2023-05-11,1602.46,1603.92,1594.44,1602.66,-0.2
2023-05-12,1607.79,1608.46,1590.67,1600.63,-0.13
2023-05-15,1602.95,1607.4,1595.12,1605.76,0.32
2023-05-16,1601.31,1604.79,1594.92,1595.02,-0.67
2023-05-17,1602.86,1616.49,1596.18,1613.68,1.17
2023-05-18,1612.62,1630.7,1611.17,1629.16,0.96
2023-05-19,1632.55,1634.58,1621.71,1626.55,-0.16
2023-05-22,1626.84,1633.03,1621.52,1626.74,0.01
2023-05-23,1620.16,1623.69,1606.62,1608.56,-1.12
2023-05-24,1601.69,1602.86,1591.63,1596.28,-0.76
2023-05-25,1609.62,1615.04,1600.72,1609.34,0.82
2023-05-26,1611.94,1632.93,1611.56,1629.93,1.28
2023-05-30,1637.67,1639.61,1624.9,1630.12,0.01
2023-05-31,1622.39,1626.26,1614.85,1621.04,-0.56
2023-06-01,1621.71,1639.99,1616.3,1635.64,0.9
2023-06-02,1646.38,1662.43,1644.06,1658.56,1.4
2023-06-05,1660.31,1665.62,1653.14,1656.34,-0.13
2023-06-06,1653.92,1661.37,1651.31,1659.23,0.17
2023-06-07,1660.69,1665.23,1651.69,1653.43,-0.35
2023-06-08,1652.57,1664.08,1649.76,1662.72,0.56
2023-06-09,1666.3,1673.26,1661.37,1665.23,0.15
2023-06-12,1686.22,1697.83,1683.32,1697.44,1.93
2023-06-13,1703.72,1710.98,1700.72,1708.65,0.66
2023-06-14,1709.72,1717.27,1696.09,1709.43,0.05
2023-06-15,1705.76,1735.15,1705.08,1729.93,1.2
2023-06-16,1738.15,1738.15,1722.1,1722.78,-0.41
2023-06-20,1715.71,1719.3,1706.34,1715.23,-0.44
2023-06-21,1710.4,1713.68,1703.54,1705.66,-0.56
2023-06-22,1701.4,1711.46,1700.05,1711.37,0.33
2023-06-23,1696.95,1705.17,1695.31,1697.92,-0.79
2023-06-26,1695.51,1703.24,1690.09,1690.87,-0.42
2023-06-27,1694.15,1711.65,1692.32,1709.43,1.1
2023-06-28,1704.31,1713.79,1702.08,1709.53,0.01
2023-06-29,1707.4,1716.59,1706.05,1715.42,0.34
2023-06-30,1728.0,1739.8,1727.42,1736.41,1.22
2023-07-03,1733.9,1738.44,1733.03,1737.77,0.08
2023-07-05,1730.12,1737.29,1730.12,1734.38,-0.2
2023-07-06,1719.01,1721.62,1709.82,1719.97,-0.83
2023-07-07,1716.3,1731.38,1714.65,1715.42,-0.26
2023-07-10,1713.88,1720.16,1711.56,1719.59,0.24
2023-07-11,1722.68,1732.26,1718.53,1730.52,0.64
2023-07-12,1745.69,1749.66,1739.8,1743.66,0.76
2023-07-13,1750.92,1760.69,1749.28,1757.4,0.79
2023-07-14,1760.88,1764.17,1753.24,1755.86,-0.09
2023-07-17,1755.08,1766.01,1755.08,1761.65,0.33
2023-07-18,1760.11,1777.22,1758.37,1774.62,0.74
2023-07-19,1778.29,1782.93,1775.19,1777.62,0.17
2023-07-20,1774.04,1777.04,1762.91,1766.01,-0.65
2023-07-21,1771.71,1773.26,1765.62,1765.91,-0.01
2023-07-24,1769.97,1776.36,1767.56,1773.26,0.42
2023-07-25,1771.71,1782.84,1771.71,1777.71,0.25
2023-07-26,1773.84,1783.22,1769.78,1777.71,0.0
2023-07-27,1790.87,1792.41,1762.05,1765.42,-0.69
2023-07-28,1778.1,1785.73,1775.39,1781.87,0.93
2023-07-31,1783.9,1786.8,1778.67,1785.44,0.2
2023-08-01,1779.55,1782.74,1776.07,1779.93,-0.31
2023-08-02,1767.16,1767.75,1751.69,1754.79,-1.41
2023-08-03,1745.98,1756.34,1743.28,1748.51,-0.36
2023-08-04,1755.17,1764.27,1738.63,1740.47,-0.46
2023-08-07,1748.21,1756.14,1745.02,1755.37,0.86
2023-08-08,1744.63,1749.38,1733.9,1747.73,-0.44
2023-08-09,1748.4,1748.98,1732.55,1735.73,-0.69
2023-08-10,1744.35,1757.98,1730.7,1735.26,-0.03
2023-08-11,1727.57,1738.06,1725.01,1733.03,-0.13
2023-08-14,1730.9,1743.47,1728.96,1743.47,0.6
2023-08-15,1735.73,1737.18,1720.45,1722.88,-1.18
2023-08-16,1720.56,1727.33,1709.43,1709.82,-0.76
2023-08-17,1714.65,1716.01,1693.95,1695.6,-0.83
2023-08-18,1682.93,1700.54,1682.93,1696.18,0.03
2023-08-21,1700.05,1710.11,1691.54,1706.91,0.63
2023-08-22,1713.88,1713.88,1700.05,1702.17,-0.28
2023-08-23,1705.76,1723.45,1705.76,1720.65,1.09
2023-08-24,1727.13,1728.48,1696.47,1696.47,-1.41
2023-08-25,1702.76,1713.01,1688.84,1707.6,0.66
2023-08-28,1716.88,1720.65,1711.27,1718.23,0.62
2023-08-29,1718.13,1744.15,1717.16,1743.38,1.46
2023-08-30,1744.73,1752.66,1741.63,1750.24,0.39
2023-08-31,1751.74,1756.05,1746.66,1747.15,-0.18
2023-09-01,1757.02,1759.05,1743.77,1749.09,0.11
2023-09-05,1747.35,1748.8,1741.44,1741.73,-0.42
2023-09-06,1738.44,1738.44,1720.36,1729.74,-0.69
2023-09-07,1716.49,1725.68,1715.53,1723.74,-0.35
2023-09-08,1723.36,1731.96,1722.1,1726.36,0.15
2023-09-11,1756.05,1757.6,1748.51,1756.53,1.75
2023-09-12,1749.86,1755.66,1743.66,1746.18,-0.59
2023-09-13,1746.28,1752.46,1742.12,1747.63,0.08
2023-09-14,1757.6,1764.75,1751.79,1761.94,0.82
2023-09-15,1755.86,1756.05,1739.03,1740.09,-1.24
2023-09-18,1738.63,1746.38,1736.99,1741.54,0.08
2023-09-19,1737.38,1739.41,1726.36,1736.89,-0.27
2023-09-20,1741.92,1743.66,1720.07,1720.36,-0.95
2023-09-21,1707.98,1709.14,1691.06,1691.35,-1.69
2023-09-22,1695.21,1701.6,1685.73,1686.7,-0.27
2023-09-25,1682.07,1694.24,1680.41,1693.77,0.42
2023-09-26,1682.36,1684.29,1665.62,1669.11,-1.46
2023-09-27,1673.55,1675.68,1654.69,1668.82,-0.02
2023-09-28,1666.78,1684.87,1664.17,1677.81,0.54
2023-09-29,1690.38,1690.77,1667.85,1673.84,-0.24
2023-10-02,1670.07,1677.81,1661.85,1672.88,-0.06
